tsr_no,requester,wideip,service_type,lb_mode,resumemethod,failovermethod,pool1_1_monitorname,pool1_1_monitorport,pool1_1_monitorhost,pool1_1_monitorurl,pool1_1_poolname,pool1_1_server_name,pool1_1_vs_name,pool1_1_vs_ip,pool1_1_vs_port,pool1_1_data_center,pool2_1_monitorname,pool2_1_monitorport,pool2_1_monitorhost,pool2_1_monitorurl,pool2_1_poolname,pool2_1_server_name,pool2_1_vs_name,pool2_1_vs_ip,pool2_1_vs_port,pool2_1_data_center,number_of_pools_in_wideip,number_of_servers_in_pool,CreatedDate
RID-240215_webservice_1,Janice CHU/ HOIT&HI CSA(T7)1,t7-automation-test-ga-sit.tstcld1.ha.org.hk,webservice,global-availability,Auto,Auto,monHttp_t7-automation-test-ga-sit_OCP4,8080,t7-automation-test-ga-sit.tstcld1.ha.org.hk,/healthcheck,pool_t7-automation-test-ga-sit_HKCH,srv_tstcld61,srv_tstcld61_443,160.200.147.17,443,,monHttp_t7-automation-test-ga-sit_OCP4,8080,t7-automation-test-ga-sit.tstcld1.ha.org.hk,/healthcheck,pool_t7-automation-test-ga-sit_DC7,srv_tstcld62,srv_tstcld62_443,160.200.198.145,443,,2,1,2024-02-20 15:09
RID-240215_webservice_1,Janice CHU/ HOIT&HI CSA(T7)1,t7-automation-test-sit.tstcld1.ha.org.hk,webservice,round-robin,Auto,Auto,monHttp_t7-automation-test-sit_OCP4,8080,t7-automation-test-sit.tstcld1.ha.org.hk,/healthcheck,pool_t7-automation-test-sit_HKCH,srv_tstcld61,srv_tstcld61_443,160.200.147.17,443,,monHttp_t7-automation-test-sit_OCP4,8080,t7-automation-test-sit.tstcld1.ha.org.hk,/healthcheck,pool_t7-automation-test-sit_DC7,srv_tstcld62,srv_tstcld62_443,160.200.198.145,443,,2,1,2024-02-20 15:09
RID-240215_webservice_1,Janice CHU/ HOIT&HI CSA(T7)1,t7-automation-test-sit.tstcld1.hadev.org.hk,webservice,round-robin,Auto,Auto,monHttp_t7-automation-test-sit_hadev_OCP4,9080,t7-automation-test-sit.tstcld1.hadev.org.hk,/healthcheck,pool_t7-automation-test-sit_HKCH_hadev,srv_tstcld61_hadev,srv_tstcld61_hadev_443,160.200.147.65,443,,monHttp_t7-automation-test-sit_hadev_OCP4,9080,t7-automation-test-sit.tstcld1.hadev.org.hk,/healthcheck,pool_t7-automation-test-sit_DC7_hadev,srv_tstcld62_hadev,srv_tstcld62_hadev_443,160.200.198.193,443,,2,1,2024-02-20 15:09
RID-240215_webservice_2,Janice CHU/ HOIT&HI CSA(T7)1,t7-automation-test-dev.tstcld1.ha.org.hk,webservice,round-robin,Auto,Auto,monHttp_t7-automation-test-dev_OCP4,8080,t7-automation-test-dev.tstcld1.ha.org.hk,/healthcheck,pool_t7-automation-test-dev_HKCH,srv_tstcld61,srv_tstcld61_443,160.200.147.17,443,,,,,,,,,,,,1,1,2024-02-20 15:09
RID-240215_webservice_2,Janice CHU/ HOIT&HI CSA(T7)1,t7-automation-test-dev.tstcld1.hadev.org.hk,webservice,round-robin,Auto,Auto,monHttp_t7-automation-test-dev_hadev_OCP4,9080,t7-automation-test-dev.tstcld1.hadev.org.hk,/healthcheck,pool_t7-automation-test-dev_HKCH_hadev,srv_tstcld61_hadev,srv_tstcld61_hadev_443,160.200.147.65,443,,,,,,,,,,,,1,1,2024-02-20 15:09
RID-240215_nonwebservice,Janice CHU/ HOIT&HI CSA(T7)1,t7-automation-highport-test-ga-sit.tstcld1.ha.org.hk,nonwebservice,global-availability,Auto,Auto,,,,,pool_t7-automation-highport-test-ga-sit_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_39500,160.200.147.41,39500,,,,,,pool_t7-automation-highport-test-ga-sit_DC7,srv_tstcld62_mini_nonhttp,srv_tstcld62_mini_39500,160.200.198.169,39500,,2,1,2024-02-20 15:09
RID-240215_nonwebservice,Janice CHU/ HOIT&HI CSA(T7)1,t7-automation-highport-test-sit.tstcld1.ha.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_t7-automation-highport-test-sit_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_39501,160.200.147.41,39501,,,,,,pool_t7-automation-highport-test-sit_DC7,srv_tstcld62_mini_nonhttp,srv_tstcld62_mini_39501,160.200.198.169,39501,,2,1,2024-02-20 15:09
RID-240215_nonwebservice,Janice CHU/ HOIT&HI CSA(T7)1,t7-automation-highport-test-sit.tstcld1.hadev.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_t7-automation-highport-test-sit_HKCH_hadev,srv_tstcld61_hadev_nonhttp,srv_tstcld61_hadev_39501,160.200.147.89,39501,,,,,,pool_t7-automation-highport-test-sit_DC7_hadev,srv_tstcld62_mini_hadev_nonhttp,srv_tstcld62_mini_hadev_39501,160.200.198.217,39501,,2,1,2024-02-20 15:09
RID-240215_nonwebservice,Janice CHU/ HOIT&HI CSA(T7)1,t7-automation-highport-test-dev.tstcld1.ha.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_t7-automation-highport-test-dev_HKCH,srv_tstcld61_nonhttp,srv_tstcld61_39502,160.200.147.41,39502,,,,,,,,,,,,1,1,2024-02-20 15:09
RID-240215_nonwebservice,Janice CHU/ HOIT&HI CSA(T7)1,t7-automation-highport-test-dev.tstcld1.hadev.org.hk,nonwebservice,round-robin,Auto,Auto,,,,,pool_t7-automation-highport-test-dev_HKCH_hadev,srv_tstcld61_hadev_nonhttp,srv_tstcld61_hadev_39502,160.200.147.89,39502,,,,,,,,,,,,1,1,2024-02-20 15:09
